fra	nnb
« Can » est le mot exact pour exprimer la capacité et « may », celui pour demander la permission.	« Can » nikinywa ekitholher'eribia ikyangana obuthoki ne « May », yikasaba ehamulhi.
J’ai souvent remarqué que les jeunes filles ne savent pas s’intéresser aux œuvres sérieuses, écrites cependant pour leur bien. Cela me confond, je l’avoue, car rien ne peut leur faire plus de bien qu’une lecture instructive.	Ngabia ngafumbulha kanzikanzi ko abambesa sibalhyanza eriyitsinga oko mikolhere ko kutsibu, erisaka busana ne ndundi yabo. Ekyokikanyi libathanganaya, ngalapa, busana sihalhi ekyangabaha ekyomuhungo ngokwisoma.
Algerian power is corrupt and criminal against the Kabyle.	Obuthabalhi obwe Algeria bulhi nekithulhiro nakandi bulhi nobuyighu oko kabyle.
Malgré la pluie, on a joué au foot.	Mwalhi embula, muthukasatha oko mupira.
Quoique gros, court et ventripotent, à jambes grasses et à mains épaisses, il était doué de la finesse des aubergistes de Suisse, auxquels il ressemblait.	Kyangabya kinzi, kikuhi na kyabibunda, amaghulu awalhi mwamaghutha  nebiala ebibondire, abyasuire nobubonde obwabanya auberge abe Suisse, obwabia sosire.
Les arabes algériens sont content lorsque les kabyles se font tuer par leur armée arabo-islamiste.	Abaharabu abe Algeria bakatsema omughulu abakabiles bakayitha omo mbundu syabo syabaharabu.
Garde tous tes objectifs à l'esprit et décide des détails selon les circonstances !	Ubik'ebilhengererwa byosi byomomuthwe naulhengekanaye ngok'obulhi kika !
Si vous étiez plus responsable et que vous ne dépensiez pas tout votre argent, vous pourriez le payer maintenant.	Wangabere mundu nerithendi tsara bukania esyo sende syaghu,  wangalhihiresyo hathya.
""" Je vous atteste ici, qu'infidèle envers moi / mon pays pour toujours a dégagé ma foi ; / que je puis rompre enfin le serment qui m'enchaîne, / révéler ses secrets, et lui vouer ma haine. """	"""Ngakubwira  hano, ngoyuthanyikirirye/ ekihuho kyaghe ebiro  kobyanakya kyabiri nyithwisya amaha ; / konangathwa emiriki eyi mbohire,/ bugha esyokumbo, nerimubwira obuyighu bwaghe. """
N'aie crainte, je serai discret et ne dirai pas ce qu'ils ne savaient pas bien.	Sighukwebuba, ngandibisasyo nakandi sinendibugha ebyo bathasi ndeke.
Les expériences de la vie impriment des traces vivaces sur la plaque sensible de son esprit.	Ebikabinzi ebyeribyaho mobyasigha ebiminyikalo oko kisayi ekyo  muthima wiwe.
"La polémique se poursuit quant à ""l'exemption des Cols Blancs"" qui exempte des travailleurs cols blancs spécifiques du temps de travail ""8 heures par jours, 40 heures semaines"" prévu par la loi sur le temps de travail."	"Obuhaka mobwalolhia emulhiro ""ebilhebirye esyombangwa esyebibuko ebye musohe"" ebika buyira abakolhi ebibuko ebyo musohe ebyo mubiri ""masaha munani okobulhikiro, mahasa 40 oko yenga"" ebithegekanibwe  nemighamb'oko ndambi esyo mubiri."
On joue au cowboy et aux Indiens ? Je me proclame shérif et vous devez tous m'obéir.	Thukasatha okomasatha awa balisya nawabahindi ? Ngayibirikiramo Sherif na inywebosi kumbe imwanzikya.
Si tu veux mon avis, Dan n'a jamais mis les pieds en Italie, sinon comment expliquerais-tu qu'il ne connaisse aucun mot en Italien alors qu'il prétend y avoir vécu pendant dix ans ?	Wamabya ighunanzire obulhengekania bwaghe, Dan syalhyatha lhyatha  ebisando biwe bye Italia omughulu akabugha athi mwana bughayo  miakikumi ?
C'est un garçon de stature moyenne, qui porte une chemise bleue à carreaux et un pantalon court gris. Il porte des chaussettes horribles et des baskets bleues.	Nimulwana  owe kithuthu  ekinaseghere, oyumbithe ekisomeko ekyeranzi  eyo mutheghulh'ekirimo emirera nepataro enguhi eyebithi ebyumire. Ambith'esyosokise esithire obuba nebikabisa ebyala ebyomutheghulhe.
Ça ira, tu peux le faire! Garde confiance en toi! Tu es déjà un nageur hors pair.	Bikandighendeka, wanganakolakyo! Ubye nerikirirya omwiwe! Uli mutsihia.
Ha ha ha ! Vous voulez tuer toutes les mouches ?	Ha ha ha ! Ukasonda eritha esyonzuhere esyonzi ?
C'est sans aucun doute l'une des pires idées que j'aie jamais entendue.	Butsira erithikathika nikighuma ekyokomalhengekania ekyonithenathowa.
J'ai trahi la foi conjugale, que j'avais jurée à don José, mon mari.	Nabianabiri ketha omughamb'owendwa, oghonalahiraya Don José, ibawaghe.
Maxime a passé la soirée entière à chercher sur internet des photos de célébrités.	Maxime mwakabugha erigholo riosi akabugha endambi omwirondya ebisasamira ebyasibwe.
Les forces d'occupation mènent désespérément des campagnes massives d'arrestation pour essayer d'empêcher un soulèvement général dans les territoires occupés. Cependant, ce soulèvement reste inévitable si cette occupation inhumaine continue.	Akaghala kanemutheka amah'awabandu erithendi syanza omulhongo  arihambwa erikingir'abandu erithendi hahuka omo bithatha ebyebikeremo. Angulhe, eriyibaghala erio sirihwere eriyimiria kinyanganga ryamabya inikandilolhia emulhiro.
Partez tout de suite, ou vous serez en retard.	Mughende lino lino, mukasya tselewa.
Gardez toujours un esprit ouvert pour de nouvelles connaissances.	Mubye nobwenge okwigha ebindu bihia.
Il existe partout des hommes de bien pour dénoncer au pouvoir ces individus d'humeur atrabilaire qui veulent déposer les princes et opérer, sans la consulter, le déménagement d'une société.	Hane abalume abuwene anganatsongera okobuthabalhi abandu abawith'emithima mibi abanzire babindulhe omughala gho mwami nerio ibatsuka erikola,  butsira neribulhya endeko eya bandu.
Les garçons, ne croyez surtout pas que cette bête entrera dans la maison.	Abalwana, sibabia balhengekanie ngoko endiabithi yangingiria omo mbimbano.
« Tu sais bien qu'il ne faut pas réveiller un lion qui dort. » « Évidemment on ne doit pas le réveiller ; on doit profiter de l'occasion pour le vaincre ! »	« Unaasi ndeke ngoko sikuwene eribuky'esimba eyi ghotsere. » « kobine, isibangabukyayo; alhiwe abandu bangimia akabanga  akerikindayo ! »
Je suis entré dans cet état d'esprit où un homme écoute et écoute et commence à ardemment désirer apercevoir un agent de police.	Monayitheka omo kirimu eky'om'omundu akahulhikirira kandi nerisonda  inyalangira omukulu owe polishi.
Chérie, tu veux bien passer chercher le gosse à l'école, ce soir ?	Mwenzi waghe, wanzire iwayasondya omwana yekiyiro, omorighologholo rino ?
Le détective Dan Anderson est retourné à la maison de Linda armé d'un mandat de perquisition.	Omuminyereri Dan Anderson mwakasubul'omunyumba ya Linda inyanawite oko kipapura eki muha obu bweri hesa.
Un regard vers l'avenir est nécessaire: qui ne regarde pas vers l'avant ne progressera pas; et comme on fait son lit, on se couche (comme on prépare ses repas, on mange).	Erikebera eyiri ebikasa nikya muhungo, oyuthe lhebaya embere syendisya  loliembere; nangok'omundu akakokothaya enzingo yiwe, iwayatho (ngoko bakahuka akalhio, ibalhia).
C'était suffisamment grave qu'il ait l'habitude d'arriver en retard au travail, mais qu'il arrive soûl est un comble, et je vais devoir m'en séparer.	Kyabya ikikalhire iribya inyawithe omutsye oweriasandangalhiri, alhiwe  iniaka hika inianughuthire, nerio nabya ngwithe ekyeriyighabana nayo.
C'est comme si vous n'aviez pas de famille, alors vous parlez de la mienne.	Alhinga sighuwithe ekihanda, nerio ukabugha oko kyaghe.
Le virus de l'herpès tue beaucoup d'éléphanteaux, partout dans le monde.	Ekirusi ekyomulémba kyamathema esyonzoghu nyingi, omokihugho kyosi.
Chaque génération, sans doute, se croit vouée à refaire le monde. La mienne sait pourtant qu'elle ne le refera pas. Mais sa tâche est peut-être plus grande. Elle consiste à empêcher que le monde se défasse.	Obulhi kihanda, butsira neriyitheba, kikabya ngakikandisya suba omo kihugho. Ekyaghe kinaasi ngoko sikyendi syakolkio. Alhiwe omubiri wakyo akabya nganimunene. Akakiraya ekihugho eritheyikola.
Descends chercher du vin à la cave.	Thima uyarhondaye omunzenze omo kishya.
Nul n'imagine que l'avenir puisse être différent du passé.	Sihali nomundu oyo wasi ebikasa nga bikandisya bia bihakia.
Vous devriez arriver tôt pour qu'il puisse lire votre manuscrit avant votre discours.	Wangahikire luba imwathoka erisoma ebyo ulhiasaka embere syomukania wawe.
À une époque où l'on faisait taire les voix des femmes et où l'on congédiait leurs espoirs, elle a survécu pour les voir se mettre debout et se prononcer et tendre la main pour prendre un scrutin.	Okomughulu oghobabya bakahunia kwemirenge eyabokoyo,  mwakakabathasyabiaho erilangirabo bakathasya hangana nerisyayithethula  nerihira hebyala erimia ekibabe ekyobusombolhi.
Tous sur des lits brodés, admirent tour à tour / l'air, le regard brillant, les traits du faux Ascagne, / sa douce voix, ses dons que la grâce accompagne.	Ithwebosi okonzingo, twamatsemera oghundi okoghundi / omuka, omobusu obutsemesirye, ebikwarari ibye Ascagne,/ omulhenge wiwe  owatsemesirie, oluhabwa luwe ebikakwamanisibawa nolukogho.
Si un mec te paie un verre dans un bar, tu peux être sûre qu'il cherche à coucher avec toi.	Omulume amakuha etsupa omokirabo, wanganikiriria kwakasonda  erikesya naghu.
Le Dr Miller souhaite que vous patientiez quelques instants.	Omuthawa Miller akayisunza muthasya lhinda hake.
L'utilisation d'asticots pour les soins de la plaie est bien plus efficace que le traitement médical moderne, car les asticots ne mangent que la chair nécrosée, mais sans abîmer la chair vivante autour.	Erikolhesya ebistikoli oko mabalia owekironda nikyamuhungo kulaba  amabali'awalhino, busana ebistikoli bikalhia omunyoku, butsira eritsandia  omunyoku owalhiho.
C'est une marque d'un esprit malin de témoigner de la joie, quand on reprend ou quand on châtie quelqu'un ; gardez-vous donc bien de tomber dans cette faute.	Nikiminyikalo ekyomulimu erikanzia obutseme bunzi, uyitheghaye  erithendisya thoghera omo rilolo erio.
Si vous voulez que vos employés soient heureux, vous devez leur verser un salaire décent.	Wamabugha uthi abakolhibawe babie nobutseme, kumbe iwahabo  olumbuka oluseghere.
Proposer aux étudiants étrangers de venir étudier en France en langue anglaise est la proposition la plus bête que j'ai jamais entendue.	Erilhenga eribwira abika erisighira ebufranza omo mubughire  owekingeresa, nikighuma kyokomisobio eyo ngithe nathowa.
Est-ce que tu penses que les poils sur la poitrine sont sexy ?	Ukalhengekanaya uthi obweya oboko kikuba niboluthetho ?
Par quels chants, par quelles musiques évoquer cette figure souverainement terrible et souverainement bonne, qui se voile aujourd’hui de clartés et s’endort aujourd’hui dans la lumière ?	Omohisimo ehiahi, omonyimbo syahi, mukalwa eribirikira obusu  obukathabala nakandi obuwene kinyabukama obukayiswika lhino omokwenene, nerighotsera hathya omo kyakakala ?
Ne perds pas confiance Mike.	Sighuheraye eriyikethera riaghu Mike.
Au rez-de-chaussée du palais se trouvent une salle de bal, un salon des miroirs, une salle à manger, un salon des trophées de chasse et un cabinet chinois.	Ekabuno esye mbimbano yabia iyine ekisenge kya bal, ekyerimo ebiyo, ekyerilhiramo ne kyerihighiramo nebisenge ebya banya Chine.
Laissez toujours la priorité aux véhicules venant de droite.	Mulhekere obwiranda obwe siongurubani esikasira okomalhembe.
Ce pigeon a volé de San Francisco à New York.	Akalıķ́u̧ku̧ kakaghuluka erilwa e San Francisco erihika eNiwiYorko.
Je suis comme cette folle de Sainte-Agathe qui sortait à chaque minute sur le pas de la porte et regardait, la main sur les yeux, du côté de La Gare, pour voir si son fils qui était mort ne venait pas.	Konyine  ngomusire  oyu  owe Mwikiria Agatha oyuwabia akahuluka  okobulhi  ndambi okoluyi nerilhbya ebyala oko meso, eluthambi  okokisenge ekye ngurubani, eriyalhebya mughala wiwe oyo wahola  ngesyalhiasa.
Je vais joindre Jim et lui demander de venir.	Ngandisungana na Jim nerimusaba ase.
Une cellule psychologique a été mise en place au sein du lycée suite à l'attentat.	Ekiyingo ekyomomuthwe mokikathekawah'okokiyiro ekya balwana  busana nobwithi.
Certains pensent, à tort, que les jeux vidéo sont la source de nos maux.	Abanzi bakalhengekanaya, kithyakithya, ngoko amasatha awebisesani  ninzuko eya malhio.
Ça serait vraiment cool si Obama se laissait pousser une chouette et épaisse coiffure afro.	Kyanguwanire nga Obama angayilhekir'eriyikunire nerilasya esyo nzwiri syebirembu.
Les voisins voient que la boîte aux lettres n'est pas vide.	Abahimbani nahalangire ngoko ekisanduku ekyesyonzakano kinemo kindu.
Dans l’amour entre l’homme et la femme, il y a toujours une minute où cet amour atteint son plus haut degré, où il n’a plus rien de réfléchi ni rien de sensuel.	Omolwanzo lwomundu owakera nakera haghuma nomukalhi, sihalhi  hathabia nakathambi kaghuma ak'olwanzo olu lukahika okomungashi owe thatha, eyo syakiwithe yobulhengekania nekyamuhungo.
Une suite est convergente si elle admet une limite finie. Elle est divergente sinon.	Olukwamiriro lubere ngalukalolaya ahaghum'amalhigha endulhi eyiwithe  omwiso. Aniakandighenda omonzira esikiri thiakithia.
Je suis sûre que vous devez avoir beaucoup de questions.	Nyinasi ndeke ngoko mukandibya namabulhio manzi.
"Les Danois disent ""I love you"". Ils ont carrément renoncé à leur langue !"	"Aba Danois bakabugha bathi ""nyikwanzire "". Babirighana omubughe wabo !"
L'outil de liaison est au-dessus de la phrase en cours de traduction et est la première icône sur la gauche; il ressemble à une combinaison d'un caractère japonais et la lettre A.	Ekyumano ekyo busangania kisyendatha syomulondo owakabindulawa  nekisanduku ekyerimbere oko kulhi; asosir'amathula ngania aghomuhanda wabanya Japane ne nzakano A.
""" Vos malheurs sont finis, votre asile assuré ; / vous n'allez point chercher sur de lointaines rives / un empire inconnu, des terres fugitives. """	"""Ebyuwene byenyu byahwere, obwikolano bwenyu bune; / simwendi yaronderia halhi / obwikal'obuthasibwe, ebithatha ebye uyipikapikira. """
Elizabeth Taylor était mon actrice préférée.	Elizabethi Taylor abya musathi waghe oyowanzire.
Ne me touchez pas, espèce de porc !	Sighunyithuleko, mumbul'engulube !
J'attends avec impatience le jour où Mlle Cobb va revenir, je peux vous dire.	Nandimulhinda kwabiha ekiro mumbesa Cobb asyasubula, nangana kubwira.
Je vous répète, ma bien-aimée Éthel, que je reviendrai bientôt vous arracher de cette prison ou m’y ensevelir avec vous.	Ngakusubiramo, mwenzi waghe Ethel, ngoko ngasiasa luba erikulusia omo mulhiki oyu kutse ithwayithabiramo naghu.
Le discours artificieux d’un Grec resté dans le camp séduit le peuple.	Omubughe oweriyikokotheria ogho mugriki erisighala omokambi akathebereraya abandu.
Les délits des mandataires du peuple et de ses agents ne doivent jamais être impunis. Nul n'a le droit de se prétendre plus inviolable que les autres citoyens.	Obubi obwabathumwa babandu nabakolhi babo ngambe ibwa hamulwa. Sihalhi oyuwithe obuthoki obweribya inyangana biamundu oyuthe  wangabia isianga pamwa ngabandi bakalani.
Ouvrez votre livre à la page 17 et lisez tout le texte à voix basse. Dans un quart d'heure, je vous poserai des questions sur ce texte, afin de vérifier si vous l'avez bien compris.	Kingula ekithabu kyaghu okoluyani olwe 17 nerio usome ebiosi ebisakire  omomulhenge mukuhi. Omosyo dakikakumi natano, ngandi kubulhy'amabulhy'awalhebirie  ebioghulhiasoma, ngalhebya nga moghukanowa.
Se rappeler qu'un tableau — avant d'être un cheval de bataille, une femme nue, ou une quelconque anecdote — est essentiellement une surface plane recouverte de couleurs en un certain ordre assemblées.	Eriebuka ekisayi – embere weribia ngusa, omukalhi oyuthambithe, kutse  eistoria – kiri oko buthala ekiswikire kwe syoranzi esiriomobughuma obukumakumire.
